Game_Title,Platform,Release_Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Ty the Tasmanian Tiger,PS2,2002,Platform,Electronic Arts,0.57,0.45,0.00,0.15,1.17,70.00,14,8.80,60,Krome Studios,E
Resident Evil: Operation Raccoon City,PS3,2012,Action,Capcom,0.48,0.24,0.36,0.10,1.17,52.00,36,4.90,222,Slant Six,M
LEGO Indiana Jones: The Original Adventures,PSP,2008,Action,LucasArts,0.40,0.48,0.00,0.29,1.17,76.00,8,7.60,11,Traveller's Tales,E10+
PokéPark Wii: Pikachu's Adventure,Wii,2009,Adventure,Nintendo,0.53,0.16,0.42,0.06,1.17,62.00,22,7.20,36,Creatures Inc.,E
WWE '12,PS3,2011,Fighting,THQ,0.53,0.45,0.02,0.17,1.17,72.00,28,6.90,80,Yuke's,T
Cabela's Dangerous Hunts,PS2,2003,Sports,Zoo Digital Publishing,0.57,0.45,0.00,0.15,1.17,57.00,4,8.40,37,Sand Grain Studios,T
Grand Theft Auto V,PC,2015,Action,Take-Two Interactive,0.39,0.69,0.00,0.09,1.17,96.00,57,7.90,3756,Rockstar North,M
Fallout: New Vegas,PC,2010,Role-Playing,Bethesda Softworks,0.59,0.45,0.00,0.14,1.17,84.00,39,8.60,2754,Obsidian Entertainment,M
WWE SmackDown vs. Raw 2010,PS3,2009,Fighting,THQ,0.48,0.48,0.01,0.20,1.17,81.00,38,8.10,55,Yuke's,T
Medal of Honor: Rising Sun,XB,2003,Shooter,Electronic Arts,0.76,0.36,0.00,0.05,1.17,65.00,23,5.80,28,EA LA,T
Army of Two,PS3,2008,Shooter,Electronic Arts,0.74,0.26,0.02,0.15,1.17,74.00,43,7.30,118,EA Montreal,M
Spore,PC,2008,Strategy,Electronic Arts,0.03,1.06,0.00,0.08,1.17,84.00,75,5.30,1711,Maxis,E10+
LEGO Star Wars III: The Clone Wars,PS3,2011,Action,LucasArts,0.52,0.46,0.00,0.19,1.16,76.00,36,7.30,34,Traveller's Tales,E10+
Midnight Club 3: DUB Edition Remix,PS2,2006,Racing,Take-Two Interactive,0.97,0.04,0.00,0.16,1.16,85.00,19,8.90,53,Rockstar San Diego,E10+
Tom Clancy's Ghost Recon: Jungle Storm,PS2,2004,Shooter,Ubisoft,0.57,0.44,0.00,0.15,1.16,70.00,31,6.30,24,Red Storm Entertainment,T
Mirror's Edge,X360,2008,Platform,Electronic Arts,0.51,0.51,0.01,0.13,1.16,79.00,82,7.60,328,EA DICE,T
Sonic the Hedgehog,PS3,2006,Platform,Sega,0.41,0.06,0.04,0.66,1.16,43.00,17,4.10,176,Sonic Team,E10+
NASCAR Thunder 2002,PS2,2001,Racing,Electronic Arts,0.57,0.44,0.00,0.15,1.16,85.00,17,8.50,22,EA Sports,E
Your Shape: Fitness Evolved 2012,X360,2011,Sports,Ubisoft,0.70,0.36,0.00,0.10,1.16,77.00,13,7.60,21,Ubisoft,E
FIFA 14,XOne,2013,Sports,Electronic Arts,0.41,0.66,0.00,0.09,1.16,88.00,22,5.80,328,EA Canada,E
Final Fantasy Tactics: The War of the Lions,PSP,2007,Role-Playing,Square Enix,0.45,0.24,0.30,0.16,1.16,88.00,41,8.00,238,TOSE,T
Sniper: Ghost Warrior,X360,2010,Shooter,City Interactive,0.54,0.50,0.00,0.12,1.16,45.00,39,5.80,89,City Interactive,M
Sonic Rush Adventure,DS,2007,Platform,Sega,0.53,0.48,0.01,0.12,1.15,78.00,32,8.20,66,Dimps Corporation,E
Worldwide Soccer Manager 2009,PC,2008,Simulation,Sega,0.00,1.14,0.00,0.01,1.15,83.00,29,8.10,30,Sports Interactive,E
Gauntlet: Dark Legacy,PS2,2001,Action,Midway Games,0.56,0.44,0.00,0.15,1.15,73.00,15,8.30,30,Midway,T
Medal of Honor Heroes 2,PSP,2007,Shooter,Electronic Arts,0.50,0.39,0.02,0.25,1.15,69.00,20,7.30,30,EA LA,T
Bad Boys: Miami Takedown,PS2,2004,Shooter,Empire Interactive,0.56,0.44,0.00,0.15,1.15,43.00,5,3.40,13,Blitz Games,M
Medal of Honor: Warfighter,X360,2012,Action,Electronic Arts,0.59,0.45,0.01,0.10,1.15,53.00,43,5.40,437,Danger Close,M
FIFA Soccer 10,PSP,2009,Sports,Electronic Arts,0.15,0.67,0.01,0.31,1.15,83.00,9,7.90,14,EA Sports,E
Call of Duty 4: Modern Warfare,PC,2007,Shooter,Activision,0.00,1.12,0.00,0.03,1.15,92.00,40,8.50,2360,Infinity Ward,M
Tak and the Power of Juju,PS2,2003,Platform,THQ,0.56,0.44,0.00,0.15,1.15,68.00,28,9.00,28,Avalanche Software,E
WWE 2K15,PS4,2014,Sports,Take-Two Interactive,0.39,0.57,0.00,0.19,1.15,62.00,44,5.10,164,Yuke's,T
Tenchu: Wrath of Heaven,PS2,2003,Action,Activision,0.44,0.34,0.25,0.11,1.14,79.00,33,8.40,38,K2 LLC,M
Shadow of the Colossus,PS2,2005,Action,Sony Computer Entertainment,0.78,0.03,0.20,0.13,1.14,91.00,77,9.10,933,SCE Japan Studio,T
Ninja Gaiden Sigma,PS3,2007,Action,Eidos Interactive,0.57,0.32,0.09,0.16,1.14,88.00,46,7.50,155,Team Ninja,M
WWE 2K14,PS3,2013,Sports,Take-Two Interactive,0.49,0.46,0.00,0.19,1.14,74.00,22,7.50,121,Yuke's,T
Pokemon Rumble Blast,3DS,2011,Action,Nintendo,0.47,0.26,0.35,0.07,1.14,56.00,36,7.10,50,Ambrella,E10+
007: Quantum of Solace,PS3,2008,Action,Activision,0.43,0.51,0.02,0.19,1.14,65.00,42,6.60,47,Treyarch,T
Dance Dance Revolution Extreme 2,PS2,2005,Simulation,Konami Digital Entertainment,0.95,0.04,0.00,0.16,1.14,76.00,27,9.00,21,Konami Computer Entertainment Hawaii,E10+
The Lord of the Rings: The Return of the King,XB,2003,Action,Electronic Arts,0.71,0.38,0.00,0.05,1.14,84.00,31,9.10,31,EA Games,T
Hot Shots Golf: Out of Bounds,PS3,2007,Sports,Sony Computer Entertainment,0.31,0.03,0.76,0.04,1.14,81.00,66,8.80,32,Clap Hanz,E
Sunset Overdrive,XOne,2014,Shooter,Microsoft Game Studios,0.63,0.40,0.00,0.10,1.14,81.00,89,7.70,1137,Insomniac Games,M
Mobile Suit Gundam: Federation vs. Zeon,PS2,2001,Simulation,Atari,0.12,0.10,0.88,0.03,1.14,73.00,15,8.80,32,Capcom,T
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,0.41,0.45,0.11,0.17,1.14,79.00,60,8.20,201,CyberConnect2,T
MechAssault,XB,2002,Simulation,Microsoft Game Studios,1.01,0.10,0.00,0.03,1.13,87.00,32,8.00,47,Day 1 Studios,T
Watch Dogs 2,PS4,2016,Action,Ubisoft,0.37,0.58,0.00,0.18,1.13,83.00,88,7.80,621,Ubisoft Montreal,M
LEGO Star Wars III: The Clone Wars,3DS,2011,Action,LucasArts,0.61,0.43,0.00,0.09,1.13,67.00,25,6.10,31,Traveller's Tales,E10+
Tom Clancy's Rainbow Six 3: Black Arrow,XB,2004,Shooter,Ubisoft,0.99,0.12,0.00,0.02,1.13,84.00,55,8.60,14,Ubisoft Montreal,M
Mirror's Edge,PS3,2008,Platform,Electronic Arts,0.31,0.58,0.02,0.22,1.13,79.00,66,7.80,362,EA DICE,T
Guitar Hero 5,X360,2009,Misc,Activision,0.65,0.37,0.00,0.11,1.13,85.00,69,6.80,108,Neversoft Entertainment,T
Alien: Isolation,PS4,2014,Shooter,Sega,0.34,0.57,0.04,0.17,1.13,79.00,50,8.10,795,Creative Assembly,M
Fantasy Life,3DS,2012,Role-Playing,Nintendo,0.33,0.37,0.37,0.06,1.13,73.00,51,8.60,209,"Level 5, Brownie Brown",E10+
SingStar,PS3,2007,Misc,Sony Computer Entertainment,0.45,0.56,0.00,0.12,1.13,82.00,48,5.90,15,SCEE London Studio,T
The Legend of Zelda: Tri Force Heroes,3DS,2015,Action,Nintendo,0.53,0.33,0.17,0.08,1.12,73.00,73,7.60,179,Nintendo,E
Supercar Street Challenge,PS2,2001,Racing,Activision,0.55,0.43,0.00,0.14,1.12,57.00,15,7.60,9,Exakt,E
Rabbids Go Home,Wii,2009,Platform,Ubisoft,0.25,0.74,0.00,0.14,1.12,78.00,50,8.30,32,Ubisoft Montpellier,E10+
ModNation Racers,PS3,2010,Racing,Sony Computer Entertainment,0.50,0.40,0.06,0.16,1.12,82.00,85,8.40,201,United Front Games,E
SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,2005,Shooter,Sony Computer Entertainment,1.03,0.00,0.01,0.08,1.12,82.00,44,8.60,63,Zipper Interactive,M
Rocksmith,PS3,2011,Misc,Ubisoft,0.53,0.36,0.09,0.15,1.12,80.00,27,8.30,52,Ubisoft,T
Call Of Duty 2: Big Red One,XB,2005,Shooter,Activision,0.66,0.40,0.00,0.05,1.12,78.00,46,5.10,27,Treyarch,T
Rocksmith,X360,2011,Misc,Ubisoft,0.84,0.19,0.01,0.08,1.12,77.00,30,8.20,62,Ubisoft,T
Guitar Hero 5,PS2,2009,Misc,Activision,0.28,0.30,0.00,0.54,1.12,71.00,4,2.60,10,BudCat,T
Worldwide Soccer Manager 2008,PC,2007,Sports,Russel,0.00,1.12,0.00,0.00,1.12,86.00,15,8.00,19,Sports Interactive,E
Yakuza 3,PS3,2009,Action,Sega,0.21,0.20,0.62,0.08,1.12,79.00,77,8.10,165,Ryu ga Gotoku Studios,M
Persona 4: Golden,PSV,2012,Role-Playing,Atlus,0.36,0.23,0.38,0.15,1.12,93.00,61,9.20,1228,Atlus,M
Spider-Man 2,XB,2004,Action,Activision,0.82,0.26,0.00,0.04,1.12,83.00,60,8.30,40,Treyarch,T
Crackdown 2,X360,2010,Shooter,Microsoft Game Studios,0.63,0.36,0.02,0.10,1.12,70.00,91,6.00,202,Ruffian Games,M
The Beatles: Rock Band,PS3,2009,Misc,MTV Games,0.67,0.29,0.00,0.15,1.12,88.00,60,8.70,59,Harmonix Music Systems,T
Dragon Age II,X360,2011,Action,Electronic Arts,0.72,0.29,0.01,0.09,1.11,79.00,75,4.50,2380,BioWare,M
Counter-Strike,XB,2003,Shooter,Microsoft Game Studios,0.85,0.23,0.00,0.04,1.11,74.00,38,7.60,51,Valve Software,M
Guitar Hero Encore: Rocks The 80s,PS2,2007,Misc,RedOctane,0.92,0.04,0.00,0.15,1.11,69.00,50,6.30,31,Harmonix Music Systems,T
Fight Night Champion,PS3,2011,Fighting,Electronic Arts,0.45,0.49,0.00,0.18,1.11,84.00,52,7.30,95,EA Canada,M
Tom Clancy's Splinter Cell: Chaos Theory,XB,2005,Action,Ubisoft,0.68,0.38,0.00,0.05,1.11,94.00,70,9.00,160,Ubisoft Montreal,M
Pikmin 3,WiiU,2013,Strategy,Nintendo,0.44,0.32,0.29,0.07,1.11,87.00,79,8.70,664,Nintendo,E10+
WWE 2K14,X360,2013,Sports,Take-Two Interactive,0.64,0.37,0.00,0.10,1.11,75.00,43,7.70,100,Yuke's,T
Dragon Ball: XenoVerse,PS4,2015,Fighting,Namco Bandai Games,0.30,0.52,0.12,0.16,1.11,69.00,50,7.70,598,Dimps Corporation,T
Castlevania: Lords of Shadow,PS3,2010,Action,Konami Digital Entertainment,0.50,0.35,0.10,0.15,1.10,85.00,62,8.00,468,Mercury Steam,M
Plants vs. Zombies,DS,2011,Strategy,Mastertronic,0.90,0.12,0.00,0.08,1.10,81.00,23,7.40,29,TOSE,E10+
LEGO City Undercover,WiiU,2013,Platform,Nintendo,0.47,0.42,0.13,0.08,1.10,80.00,66,8.20,283,TT Games,E10+
Need for Speed: ProStreet,Wii,2007,Racing,Electronic Arts,0.53,0.45,0.00,0.12,1.10,61.00,16,6.90,14,EA Games,E10+
GRID,PS3,2008,Racing,Codemasters,0.31,0.56,0.03,0.20,1.10,87.00,39,8.10,109,Codemasters,E
Medal of Honor: Airborne,X360,2007,Shooter,Electronic Arts,0.45,0.52,0.01,0.12,1.10,73.00,54,6.70,77,Electronic Arts,T
NCAA Football 14,X360,2013,Sports,Electronic Arts,1.01,0.00,0.00,0.08,1.09,77.00,18,5.80,74,EA Tiburon,E
Yakuza 2,PS2,2006,Adventure,Sega,0.05,0.04,0.84,0.16,1.09,77.00,34,8.10,52,Amusement Vision,M
Guitar Hero 5,PS3,2009,Misc,Activision,0.53,0.39,0.00,0.17,1.09,86.00,54,5.70,87,Neversoft Entertainment,T
NERF N-Strike,Wii,2008,Shooter,Electronic Arts,0.91,0.09,0.00,0.09,1.09,66.00,13,4.40,7,"EA Redwood Shores, EA Salt Lake",E10+
Untold Legends: Brotherhood of the Blade,PSP,2005,Role-Playing,Activision,0.54,0.33,0.01,0.22,1.09,68.00,51,7.60,58,Sony Online Entertainment,T
Project CARS,PS4,2015,Racing,Slightly Mad Studios,0.20,0.70,0.02,0.16,1.09,83.00,37,6.60,363,Slightly Mad Studios,E
Madden NFL 2004,XB,2003,Sports,Electronic Arts,1.02,0.02,0.00,0.05,1.09,92.00,27,8.30,48,EA Tiburon,E
Sonic and the Black Knight,Wii,2009,Platform,Sega,0.64,0.34,0.01,0.10,1.09,54.00,51,6.90,198,Sonic Team,E10+
The Godfather,PS2,2006,Action,Electronic Arts,0.89,0.03,0.01,0.15,1.09,75.00,56,8.30,99,Electronic Arts,M
Sonic Free Riders,X360,2010,Racing,Sega,0.74,0.25,0.00,0.09,1.09,47.00,52,2.10,98,Sega,E
Star Wars: Bounty Hunter,PS2,2002,Shooter,LucasArts,0.53,0.42,0.00,0.14,1.09,65.00,32,8.30,33,LucasArts,T
WWE SmackDown vs. Raw 2011,PS3,2010,Fighting,THQ,0.44,0.46,0.01,0.18,1.09,74.00,42,6.90,41,Yuke's,T
NCAA Football 13,X360,2012,Action,Electronic Arts,1.02,0.00,0.00,0.07,1.09,76.00,20,5.50,65,EA Tiburon,E
Skate 2,X360,2009,Sports,Electronic Arts,0.82,0.17,0.01,0.09,1.09,84.00,70,8.00,72,EA Black Box,T
NASCAR Thunder 2004,PS2,2003,Racing,Electronic Arts,0.53,0.41,0.00,0.14,1.08,88.00,15,8.90,77,EA Tiburon,E
Namco Museum Battle Collection,PSP,2005,Misc,Sony Computer Entertainment,0.75,0.18,0.00,0.16,1.08,73.00,28,7.20,9,TOSE,E10+
Empire: Total War,PC,2009,Strategy,Sega,0.01,0.97,0.00,0.10,1.08,90.00,62,6.90,2981,Creative Assembly,T
Virtua Fighter 5,PS3,2007,Fighting,Sega,0.29,0.51,0.08,0.20,1.08,85.00,47,7.40,67,Sega AM2,T
Dante's Inferno,PS3,2010,Action,Electronic Arts,0.64,0.28,0.04,0.13,1.08,75.00,69,7.50,265,Visceral Games,M
Tom Clancy's Ghost Recon 2,PS2,2004,Shooter,Ubisoft,0.64,0.34,0.00,0.10,1.08,58.00,21,6.00,19,Ubisoft Shanghai/Paris,T
Forza Horizon 3,XOne,2016,Racing,Microsoft Game Studios,0.42,0.58,0.00,0.08,1.08,91.00,90,7.40,594,Playground Games,E
Star Wars: The Force Unleashed,PSP,2008,Action,LucasArts,0.43,0.40,0.00,0.24,1.08,70.00,10,8.10,49,Krome Studios,T
Plants vs. Zombies: Garden Warfare,X360,2014,Shooter,Electronic Arts,0.51,0.47,0.00,0.09,1.08,69.00,6,7.30,121,PopCap,E10+
The Simpsons Game,PSP,2007,Action,Electronic Arts,0.24,0.54,0.00,0.30,1.07,59.00,7,6.70,15,"Electronic Arts, Rebellion",T
LEGO Star Wars II: The Original Trilogy,DS,2006,Action,LucasArts,0.96,0.03,0.00,0.08,1.07,47.00,9,5.00,38,Amaze Entertainment,E
Call of Duty 3,PS2,2006,Shooter,Activision,0.89,0.03,0.00,0.15,1.07,82.00,14,7.40,83,Treyarch,T
FIFA Soccer 11,Wii,2010,Sports,Electronic Arts,0.26,0.69,0.00,0.12,1.07,73.00,17,7.30,8,EA Sports,E
Prince of Persia,PS3,2008,Action,Ubisoft,0.47,0.40,0.03,0.17,1.07,85.00,59,7.30,245,Ubisoft Montreal,T
Tomb Raider: Underworld,X360,2008,Action,Eidos Interactive,0.53,0.42,0.01,0.11,1.07,76.00,57,6.60,198,Crystal Dynamics,T
Pro Evolution Soccer 2008,X360,2007,Sports,Konami Digital Entertainment,0.08,0.90,0.04,0.05,1.07,76.00,29,7.80,36,Konami,E
SoulCalibur III,PS2,2005,Fighting,Namco Bandai Games,0.74,0.15,0.13,0.05,1.07,86.00,57,8.40,96,Namco,T
Tiger Woods PGA Tour 10,Wii,2009,Sports,Electronic Arts,0.60,0.36,0.00,0.11,1.07,88.00,44,8.80,57,EA Tiburon,E
World Tour Soccer,PSP,2005,Sports,Sony Computer Entertainment,0.10,0.63,0.00,0.34,1.07,70.00,31,5.60,5,SCEE,E
Naruto: Ultimate Ninja Storm,PS3,2008,Fighting,Namco Bandai Games,0.49,0.34,0.09,0.15,1.07,75.00,32,8.60,95,CyberConnect2,T
Lightning Returns: Final Fantasy XIII,PS3,2013,Role-Playing,Square Enix,0.31,0.20,0.45,0.11,1.07,66.00,62,5.90,552,Square Enix,T
Mortal Kombat: Armageddon,PS2,2006,Fighting,Midway Games,0.88,0.04,0.00,0.14,1.06,75.00,43,8.50,84,Midway,M
Freekstyle,PS2,2002,Racing,Electronic Arts,0.52,0.41,0.00,0.14,1.06,81.00,25,7.30,14,Page 44 Studios,E
Grand Theft Auto: Chinatown Wars,PSP,2009,Action,Take-Two Interactive,0.28,0.49,0.03,0.27,1.06,90.00,77,7.30,146,Rockstar Leeds,M
Spore Creatures,DS,2008,Simulation,Electronic Arts,0.66,0.30,0.00,0.10,1.06,65.00,20,6.50,21,Griptonite Games,E
The Orange Box,PS3,2007,Shooter,Electronic Arts,0.28,0.58,0.00,0.21,1.06,89.00,21,8.40,188,EA Games,M
DJ Hero,X360,2009,Misc,Activision,0.56,0.39,0.00,0.11,1.06,84.00,72,8.00,42,FreeStyleGames,T
Bully: Scholarship Edition,X360,2008,Action,Take-Two Interactive,0.53,0.40,0.03,0.11,1.06,80.00,56,8.30,154,"Mad Doc Software, Rockstar Vancouver",T
NBA Street V3,PS2,2005,Sports,Electronic Arts,0.52,0.41,0.00,0.14,1.06,89.00,36,8.70,37,EA Canada,E
Hulk,PS2,2003,Action,Universal Interactive,0.52,0.41,0.00,0.14,1.06,71.00,28,8.30,22,Radical Entertainment,T
Overwatch,XOne,2016,Shooter,Activision,0.63,0.33,0.00,0.10,1.06,91.00,18,5.60,668,Blizzard Entertainment,T
Aliens vs Predator,X360,2010,Shooter,Sega,0.55,0.40,0.00,0.11,1.06,64.00,64,7.30,247,Rebellion,M
Skylanders Giants,PS3,2012,Action,Activision,0.36,0.49,0.00,0.20,1.06,77.00,21,6.30,18,Toys for Bob,E10+
Diablo II: Lord of Destruction,PC,2001,Role-Playing,Vivendi Games,1.03,0.02,0.00,0.00,1.06,87.00,21,9.10,639,Blizzard North,M
Endless Ocean,Wii,2007,Adventure,Nintendo,0.43,0.46,0.09,0.09,1.06,72.00,42,8.10,61,Arika,E
Seek and Destroy,PS2,2002,Racing,Play It,0.52,0.40,0.00,0.14,1.06,63.00,9,8.80,10,Barnhouse Effect,T
Darksiders,X360,2010,Action,THQ,0.67,0.28,0.01,0.10,1.06,83.00,81,7.90,292,Vigil Games,M
Mercenaries 2: World in Flames,X360,2008,Shooter,Electronic Arts,0.65,0.30,0.01,0.10,1.06,72.00,69,7.20,152,Pandemic Studios,T
Warhawk,PS3,2007,Simulation,Sony Computer Entertainment,0.49,0.39,0.00,0.17,1.06,84.00,50,8.40,183,Incognito Inc.,T
DiRT 3,PS3,2011,Racing,Codemasters,0.27,0.57,0.01,0.20,1.06,87.00,52,7.10,122,Codemasters,T
Sega Superstars Tennis,Wii,2008,Sports,Sega,0.28,0.65,0.00,0.13,1.05,71.00,24,7.00,16,Sumo Digital,E10+
DiRT,PS3,2007,Racing,Codemasters,0.16,0.66,0.00,0.23,1.05,83.00,32,8.00,32,Codemasters,E
Call of Duty 4: Modern Warfare,DS,2007,Shooter,Activision,0.95,0.01,0.01,0.08,1.05,75.00,22,6.90,36,n-Space,T
Resident Evil: The Darkside Chronicles,Wii,2009,Action,Capcom,0.46,0.31,0.20,0.09,1.05,75.00,55,8.00,60,Cavia Inc.,M
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006,Shooter,Sony Computer Entertainment,0.81,0.11,0.00,0.13,1.05,81.00,31,9.00,36,Zipper Interactive,T
NBA 2K3,PS2,2002,Sports,Sega,0.51,0.40,0.00,0.13,1.05,89.00,21,8.00,22,Visual Concepts,E
LEGO The Lord of the Rings,PS3,2012,Action,Warner Bros. Interactive Entertainment,0.37,0.49,0.00,0.19,1.05,82.00,16,8.30,85,TT Games,E10+
The Simpsons: Road Rage,XB,2001,Racing,Electronic Arts,0.78,0.26,0.00,0.01,1.05,61.00,17,8.30,6,Fox Interactive,T
Dave Mirra Freestyle BMX,PS,2000,Sports,Acclaim Entertainment,0.91,0.11,0.00,0.03,1.05,82.00,14,8.40,5,"Z-Axis, Ltd.",E
EA Sports UFC,PS4,2014,Sports,Electronic Arts,0.46,0.41,0.01,0.17,1.05,70.00,57,6.10,279,EA Sports,T
Forza Motorsport,XB,2005,Racing,Microsoft Game Studios,0.52,0.51,0.00,0.02,1.05,92.00,73,7.60,213,Microsoft Game Studios,E
Virtua Tennis 3,PS3,2007,Sports,Sega,0.23,0.58,0.03,0.21,1.05,80.00,35,7.90,32,Sega AM3,E
MVP Baseball 2003,PS2,2003,Sports,Electronic Arts,0.51,0.40,0.00,0.13,1.04,81.00,22,8.90,17,EA Sports,E
WWE SmackDown vs. Raw 2010,X360,2009,Fighting,THQ,0.56,0.37,0.01,0.10,1.04,80.00,59,8.40,36,Yuke's,T
Sleeping Dogs,PS3,2012,Action,Square Enix,0.31,0.49,0.05,0.19,1.04,83.00,40,7.70,645,United Front Games,M
Dance Dance Revolution SuperNOVA,PS2,2006,Simulation,Konami Digital Entertainment,0.87,0.03,0.00,0.14,1.04,73.00,25,8.70,6,Konami,E10+
Aliens vs Predator,PS3,2010,Shooter,Sega,0.41,0.46,0.00,0.18,1.04,65.00,57,7.30,168,Rebellion,M
Sonic the Hedgehog,X360,2006,Platform,Sega,0.44,0.48,0.00,0.11,1.04,46.00,38,4.40,455,Sega,E10+
Need for Speed: Most Wanted,XB,2005,Racing,Electronic Arts,0.53,0.46,0.00,0.05,1.04,83.00,32,8.80,29,EA Canada,T
The Simpsons Game,X360,2007,Action,Electronic Arts,0.54,0.39,0.00,0.11,1.03,71.00,52,7.70,71,"Electronic Arts, EA Redwood Shores",T
F1 2012,PS3,2012,Racing,Codemasters,0.12,0.63,0.05,0.23,1.03,81.00,23,7.50,54,Codemasters,E
Brink,X360,2011,Shooter,Bethesda Softworks,0.59,0.35,0.01,0.09,1.03,68.00,85,5.80,404,Splash Damage,T
MX vs. ATV Unleashed,PS2,2005,Racing,THQ,0.86,0.03,0.00,0.14,1.03,79.00,30,8.40,17,Rainbow Studios,E
WipEout Pure,PSP,2005,Racing,Sony Computer Entertainment,0.47,0.34,0.00,0.23,1.03,88.00,56,7.90,102,Studio Liverpool,E
UFC Undisputed 3,PS3,2012,Action,THQ,0.55,0.32,0.03,0.13,1.03,86.00,30,7.40,92,Yuke's,T
LEGO Pirates of the Caribbean: The Video Game,X360,2011,Action,Disney Interactive Studios,0.54,0.39,0.00,0.09,1.03,73.00,54,7.00,31,Traveller's Tales,E10+
Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007,Shooter,Ubisoft,0.34,0.48,0.02,0.19,1.03,84.00,29,8.10,41,"Red Storm Entertainment, Ubisoft Paris",T
Super Princess Peach,DS,2005,Platform,Nintendo,0.70,0.05,0.21,0.07,1.03,75.00,48,7.60,33,TOSE,E
Guinness World Records: The Videogame,Wii,2008,Action,Warner Bros. Interactive Entertainment,0.46,0.47,0.00,0.11,1.03,67.00,12,7.00,8,TT Fusion,E10+
NCAA March Madness 2004,PS2,2003,Sports,Electronic Arts,0.50,0.39,0.00,0.13,1.03,82.00,16,8.80,12,NuFX,E
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo,0.56,0.30,0.08,0.09,1.03,86.00,74,8.40,329,"Tantalus Interactive, Tantatus, Nintendo",T
LEGO Indiana Jones: The Original Adventures,PS3,2008,Action,Activision,0.44,0.42,0.00,0.17,1.03,77.00,36,7.70,30,Traveller's Tales,E10+
MySims Agents,Wii,2009,Adventure,Electronic Arts,0.61,0.32,0.00,0.10,1.03,78.00,28,8.60,28,Electronic Arts,E
MotorStorm: Arctic Edge,PSP,2009,Racing,Sony Computer Entertainment,0.16,0.57,0.00,0.29,1.02,79.00,58,8.80,39,Bigbig Studios,T
FIFA Soccer 08,Wii,2007,Sports,Electronic Arts,0.32,0.59,0.01,0.11,1.02,65.00,13,6.10,26,EA Canada,E
Tiger Woods PGA Tour 08,Wii,2007,Sports,Electronic Arts,0.93,0.01,0.00,0.08,1.02,72.00,24,7.00,22,EA Salt Lake,E
Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007,Fighting,Atari,0.32,0.36,0.26,0.09,1.02,72.00,27,8.40,61,"Spike, Namco Bandai Games",T
NBA 2K17,XOne,2016,Sports,Take-Two Interactive,0.86,0.06,0.00,0.11,1.02,90.00,17,6.20,91,Visual Concepts,E
Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,2007,Shooter,Ubisoft,0.87,0.05,0.02,0.08,1.02,86.00,58,8.10,89,"Red Storm Entertainment, Ubisoft Paris",T
Sonic Unleashed,PS3,2008,Platform,Sega,0.56,0.32,0.01,0.14,1.02,54.00,24,7.90,130,Sonic Team,E10+
Disney Universe,Wii,2011,Action,Disney Interactive Studios,0.64,0.28,0.00,0.10,1.02,61.00,11,6.00,5,Eurocom Entertainment Software,E10+
Dance on Broadway,Wii,2010,Misc,Ubisoft,0.25,0.65,0.00,0.12,1.02,48.00,6,3.30,4,Longtail Studios,E10+
LEGO Indiana Jones 2: The Adventure Continues,X360,2009,Action,Activision,0.62,0.31,0.00,0.09,1.02,71.00,41,7.40,25,Traveller's Tales,E10+
Bulletstorm,X360,2011,Shooter,Electronic Arts,0.61,0.32,0.01,0.08,1.02,84.00,83,7.60,439,"Epic Games, People Can Fly",M
Skylanders SWAP Force,PS3,2013,Platform,Activision,0.43,0.42,0.00,0.17,1.02,83.00,31,5.30,33,Vicarious Visions,E10+
Madden NFL 07,XB,2006,Sports,Electronic Arts,0.97,0.03,0.00,0.03,1.02,83.00,27,8.70,6,EA Tiburon,E
Sonic Generations,3DS,2011,Platform,Sega,0.44,0.47,0.01,0.09,1.02,66.00,29,6.90,108,"Sega, Dimps Corporation",E
Rock Band 2,Wii,2008,Misc,MTV Games,0.93,0.01,0.00,0.08,1.02,92.00,10,7.70,45,Harmonix Music Systems,T
Harry Potter and the Prisoner of Azkaban,PS2,2004,Action,Electronic Arts,0.50,0.39,0.00,0.13,1.02,70.00,29,8.70,29,EA Games,E
Pokemon Conquest,DS,2012,Role-Playing,Nintendo,0.56,0.05,0.37,0.04,1.02,80.00,40,8.20,89,Koei,E
Wall-E,Wii,2008,Platform,THQ,0.51,0.40,0.00,0.11,1.01,51.00,18,3.60,8,Heavy Iron Studios,E
Naruto: Clash of Ninja Revolution,Wii,2007,Fighting,Tomy Corporation,0.44,0.46,0.00,0.11,1.01,74.00,23,8.00,27,8ing/Raizing,T
Ace Combat 6: Fires of Liberation,X360,2007,Simulation,Atari,0.69,0.04,0.22,0.06,1.01,80.00,54,7.90,101,Project Aces,T
